:START_ID,:END_ID
team_0001,ed_2024_apertura
team_0002,ed_2024_apertura
team_0003,ed_2024_apertura
team_0004,ed_2024_apertura
team_0005,ed_2024_apertura
team_0006,ed_2024_apertura
team_0008,ed_2024_apertura
team_0009,ed_2024_apertura
team_0010,ed_2024_apertura
team_0011,ed_2024_apertura
team_0001,ed_2024_clausura
team_0002,ed_2024_clausura
team_0003,ed_2024_clausura
team_0004,ed_2024_clausura
team_0005,ed_2024_clausura
team_0006,ed_2024_clausura
team_0009,ed_2024_clausura
team_0010,ed_2024_clausura
team_0011,ed_2024_clausura
team_0001,ed_2025_apertura
team_0002,ed_2025_apertura
team_0003,ed_2025_apertura
team_0004,ed_2025_apertura
team_0005,ed_2025_apertura
team_0006,ed_2025_apertura
team_0009,ed_2025_apertura
team_0010,ed_2025_apertura
team_0011,ed_2025_apertura
team_0012,ed_2025_apertura
team_0001,ed_2025_clausura
team_0002,ed_2025_clausura
team_0003,ed_2025_clausura
team_0004,ed_2025_clausura
team_0005,ed_2025_clausura
team_0006,ed_2025_clausura
team_0009,ed_2025_clausura
team_0010,ed_2025_clausura
team_0011,ed_2025_clausura
team_0012,ed_2025_clausura
